2024-12-04 11:10:00 | INFO | stdout | INFO:     10.140.37.164:50364 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-12-04 11:10:01 | INFO | stdout | INFO:     10.140.37.164:50366 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-12-04 11:10:02 | INFO | controller | Register a new worker: http://SH-IDCA1404-10-140-54-108:20003
2024-12-04 11:10:02 | INFO | controller | Register done: http://SH-IDCA1404-10-140-54-108:20003, {'model_names': ['grounding_dino'], 'speed': 1, 'queue_length': 0}
2024-12-04 11:10:02 | INFO | stdout | INFO:     10.140.54.108:42922 - "POST /register_worker HTTP/1.1" 200 OK
2024-12-04 11:10:02 | INFO | controller | names: ['http://SH-IDCA1404-10-140-54-108:20003'], queue_lens: [0.0], ret: http://SH-IDCA1404-10-140-54-108:20003
2024-12-04 11:10:02 | INFO | stdout | INFO:     10.140.37.164:50376 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-12-04 11:10:02 | INFO | controller | names: ['http://SH-IDCA1404-10-140-54-108:20007'], queue_lens: [0.0], ret: http://SH-IDCA1404-10-140-54-108:20007
2024-12-04 11:10:02 | INFO | stdout | INFO:     10.140.37.164:50378 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-12-04 11:10:20 | INFO | controller | Register a new worker: http://SH-IDCA1404-10-140-54-108:20007
2024-12-04 11:10:20 | INFO | controller | Register done: http://SH-IDCA1404-10-140-54-108:20007, {'model_names': ['sam'], 'speed': 1, 'queue_length': 0}
2024-12-04 11:10:20 | INFO | controller | Register a new worker: http://SH-IDCA1404-10-140-54-108:20003
2024-12-04 11:10:20 | INFO | controller | Register done: http://SH-IDCA1404-10-140-54-108:20003, {'model_names': ['grounding_dino'], 'speed': 1, 'queue_length': 0}
2024-12-04 11:10:20 | INFO | stdout | INFO:     10.140.54.5:46396 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2024-12-04 11:10:20 | INFO | stdout | INFO:     10.140.54.5:46402 - "POST /list_models HTTP/1.1" 200 OK
2024-12-04 11:10:20 | INFO | controller | names: ['http://SH-IDCA1404-10-140-54-108:20003'], queue_lens: [0.0], ret: http://SH-IDCA1404-10-140-54-108:20003
2024-12-04 11:10:20 | INFO | stdout | INFO:     10.140.54.5:46404 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-12-04 11:10:20 | INFO | controller | Register a new worker: http://SH-IDCA1404-10-140-54-5:20005
2024-12-04 11:10:20 | INFO | controller | Register done: http://SH-IDCA1404-10-140-54-5:20005, {'model_names': ['grounding_dino+sam', 'grounded_sam'], 'speed': 1, 'queue_length': 0}
2024-12-04 11:10:20 | INFO | stdout | INFO:     10.140.54.5:46406 - "POST /register_worker HTTP/1.1" 200 OK
2024-12-04 11:10:23 | INFO | controller | Register a new worker: http://SH-IDCA1404-10-140-54-108:20007
2024-12-04 11:10:23 | INFO | controller | Register done: http://SH-IDCA1404-10-140-54-108:20007, {'model_names': ['sam'], 'speed': 1, 'queue_length': 0}
2024-12-04 11:10:23 | INFO | controller | Register a new worker: http://SH-IDCA1404-10-140-54-108:20003
2024-12-04 11:10:23 | INFO | controller | Register done: http://SH-IDCA1404-10-140-54-108:20003, {'model_names': ['grounding_dino'], 'speed': 1, 'queue_length': 0}
2024-12-04 11:10:23 | INFO | controller | Register a new worker: http://SH-IDCA1404-10-140-54-5:20005
2024-12-04 11:10:23 | ERROR | controller | Get status fails: http://SH-IDCA1404-10-140-54-5:20005, HTTPConnectionPool(host='sh-idca1404-10-140-54-5', port=20005): Max retries exceeded with url: /worker_get_status (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f0f5e8407c0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-12-04 11:10:23 | INFO | controller | Remove stale worker: http://SH-IDCA1404-10-140-54-5:20005
2024-12-04 11:10:23 | INFO | stdout | INFO:     10.140.54.5:46408 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2024-12-04 11:10:23 | INFO | stdout | INFO:     10.140.54.5:46416 - "POST /list_models HTTP/1.1" 200 OK
2024-12-04 11:10:23 | INFO | controller | names: ['http://SH-IDCA1404-10-140-54-108:20007'], queue_lens: [0.0], ret: http://SH-IDCA1404-10-140-54-108:20007
2024-12-04 11:10:23 | INFO | stdout | INFO:     10.140.54.5:46418 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-12-04 11:10:25 | INFO | controller | Receive heart beat. http://SH-IDCA1404-10-140-54-108:20007
2024-12-04 11:10:25 | INFO | stdout | INFO:     10.140.54.108:42954 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-12-04 11:10:47 | INFO | controller | Receive heart beat. http://SH-IDCA1404-10-140-54-108:20003
2024-12-04 11:10:47 | INFO | stdout | INFO:     10.140.54.108:42960 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-12-04 11:11:05 | INFO | controller | Receive unknown heart beat. http://SH-IDCA1404-10-140-54-5:20005
2024-12-04 11:11:05 | INFO | stdout | INFO:     10.140.54.5:46439 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-12-04 11:11:05 | INFO | controller | Register a new worker: http://SH-IDCA1404-10-140-54-5:20005
2024-12-04 11:11:05 | INFO | controller | Register done: http://SH-IDCA1404-10-140-54-5:20005, {'model_names': ['grounding_dino+sam', 'grounded_sam'], 'speed': 1, 'queue_length': 0}
2024-12-04 11:11:05 | INFO | stdout | INFO:     10.140.54.5:46440 - "POST /register_worker HTTP/1.1" 200 OK
2024-12-04 11:11:10 | INFO | controller | Receive heart beat. http://SH-IDCA1404-10-140-54-108:20007
2024-12-04 11:11:10 | INFO | stdout | INFO:     10.140.54.108:42970 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-12-04 11:11:32 | INFO | controller | Receive heart beat. http://SH-IDCA1404-10-140-54-108:20003
2024-12-04 11:11:32 | INFO | stdout | INFO:     10.140.54.108:42988 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-12-04 11:11:50 | INFO | controller | Receive heart beat. http://SH-IDCA1404-10-140-54-5:20005
2024-12-04 11:11:50 | INFO | stdout | INFO:     10.140.54.5:46456 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-12-04 11:11:55 | INFO | controller | Receive heart beat. http://SH-IDCA1404-10-140-54-108:20007
2024-12-04 11:11:55 | INFO | stdout | INFO:     10.140.54.108:42998 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-12-04 11:12:17 | INFO | controller | Receive heart beat. http://SH-IDCA1404-10-140-54-108:20003
2024-12-04 11:12:17 | INFO | stdout | INFO:     10.140.54.108:43006 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-12-04 11:12:35 | INFO | controller | Receive heart beat. http://SH-IDCA1404-10-140-54-5:20005
2024-12-04 11:12:35 | INFO | stdout | INFO:     10.140.54.5:46476 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-12-04 11:12:40 | INFO | controller | Receive heart beat. http://SH-IDCA1404-10-140-54-108:20007
2024-12-04 11:12:40 | INFO | stdout | INFO:     10.140.54.108:43012 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-12-04 11:13:02 | INFO | controller | Receive heart beat. http://SH-IDCA1404-10-140-54-108:20003
2024-12-04 11:13:02 | INFO | stdout | INFO:     10.140.54.108:43020 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-12-04 11:13:19 | INFO | controller | Register a new worker: http://SH-IDCA1404-10-140-54-108:20007
2024-12-04 11:13:19 | INFO | controller | Register done: http://SH-IDCA1404-10-140-54-108:20007, {'model_names': ['sam'], 'speed': 1, 'queue_length': 0}
2024-12-04 11:13:19 | INFO | controller | Register a new worker: http://SH-IDCA1404-10-140-54-108:20003
2024-12-04 11:13:19 | INFO | controller | Register done: http://SH-IDCA1404-10-140-54-108:20003, {'model_names': ['grounding_dino'], 'speed': 1, 'queue_length': 0}
2024-12-04 11:13:19 | INFO | controller | Register a new worker: http://SH-IDCA1404-10-140-54-5:20005
2024-12-04 11:13:19 | INFO | controller | Register done: http://SH-IDCA1404-10-140-54-5:20005, {'model_names': ['grounding_dino+sam', 'grounded_sam'], 'speed': 1, 'queue_length': 0}
2024-12-04 11:13:19 | INFO | stdout | INFO:     10.140.37.163:56466 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2024-12-04 11:13:19 | INFO | stdout | INFO:     10.140.37.163:56474 - "POST /list_models HTTP/1.1" 200 OK
